FID,Shape *,OBJECTID,GIS_Featur,Status,MATERIAL,MATERIAL_CD,Mat_Fact,TARGET_Mat_Fact,Age,Remaining_Life,RSL,TARGET_Remaining_Life,TARGET_RSL,RSL_SCR,TARGET_RSL_SCR,RSL_Level,TARGET_RSL_Level,MaterialCl,INSTALL_DA,FRM_NODE,TO_NODE,DIAMETER,LEN_M,Operation_Cost,Maintenance_Cost,REPLC_COST,MI,MI_SCR,INST_YR,TotBrks,TotBrks_Lenght,BRK_SCR,BRK_SCR_TARGET,TotBrks_Level,BRKS_FVYRS,BRKS_FVYRS-Lenght,BRKS_FVYRS_SCR,BRKS_FVYRS_SCR_TARGET,BRKS_FVYRS_Level,Condition_Score,TARGET_Condition_Score,Condition_Score_Level,TARGET_Condition_Score_Level,Condition_level,TARGET_Condition_level,StreetNumb,StreetName,StreetFrom,StreetTo,Owner,Constructe,Condition,JointType,CFactor,CFactorDat,Corrosio_1,Rehabilita,Rehabili_1,Rehabili_2,AnodeType,Flushed,FlushDate,EasementLo,Memo,PipeLocati,ImportantC,AssumeDate,GIS_ID,Constructe,Corrosio_1,TEXTLABEL,TOBEREPLAC,HANSEN_COM,TRANS,TotBrks,SOIL,WaterBodie,Under Bridger,RoadWay,Forest_Gre,River_cree,LandFill,WL,HWY,RWY,TracerWire,Rehabilita,Rehabili_1,Rehabili_2,AnodeType,FlushDate,Easement,EasementLo,DeadEnd,RoadClass,ReportNumb,DrawingNum,HydrantCon,Maintenanc,MeterRoute,HighLevelA,MapGrid,CriticalCr,PipeLocati,ImportantC,CorrosionP,Medical_Services,STANDARD_CONFOR,f,R,HL,HEAD_LOSS_,,BreakDate1,BreakYear1,BreakDate2,,BreakYear2,BreakDate3,BreakYear3,,BreakDate4,BreakYear4,,BreakDate5,BreakYear5,,BreakDate6,BreakYear6,,BreakDate7,BreakYear7,,BreakDate8,BreakYear8,,BreakDate9,BreakYear9,,BreakDat_10,BreakYear10,,BreakDat-2,,BreakDat-3,,BreakDat-4,,BreakDat-5,,BreakDat-6,BreakDat-7,BreakDat-8,BreakDat-9,,BreakDa-10,,BreakDa-11,BreakDa-12,,BreakDa-13,BreakDa-14,BreakDa-15,BreakDa-16,BreakDa-17,,CauseOfBre,CauseOfB_1,CauseOfB_2,CauseOfB_3,CauseOfB_4,CauseOfB_5,CauseOfB_6,CauseOfB_7,CauseOfB_8,CauseOfB_9,CauseOf_10,CauseOf_11,CauseOf_12,CauseOf_13,CauseOf_14,CauseOf_15,CauseOf_16,CauseOf_17,CauseOf_18,CauseOf_19,CauseOf_20,CauseOf_21,CauseOf_22,CauseOf_23,CauseOf_24,CauseOf_25,Performanc_SCR,TARGET_Performanc_SCR,Performance_Score_Level,TARGET_Performance_Score_Level,Performance_Level,TARGET_Performance_Level,DIA_SCR,TARGET_DIA_SCR,ENVMT_SCR,TARGET_ENVMT_SCR,ACCESS_SCR,TARGET_ACCESS_SCR,Criticality_SCR,TARGET_Criticality_SCR,Criticality_Score_Level,TARGET_Criticality_Score_Level,Criticality_Level,TARGET_Criticality_Level,PAN,TARGET_PAN,MITIGATION_Score_Level,TARGET_MITIGATION_Score_Level,MITIGATION_Level_PAN,TARGET_MITIGATION_Level_PAN,AssetName,Components,EOCCategor,EOCRecepti,EMSCategor,EMSTier1Cl,EMSTier2Cl,EMSHierarc,Rotation,NEW_DEVELO,Development,GIS_ID_12,FILE_NO,Planner,Status_1,CONDO_PLAN,CPLANYEAR
515,Polyline,2564,L9215,ACTIVE,DI,DI,0.5,0.26,46,57,57,45.96,45.96,0,5,Very Low,Medium,CL 52,1971_01_01,N6822,N6839,150,93.4,93.4,70.05,140100,6.65,15,1971,0,0,0,6,,0,0,0,6,,120,284.8,Moderately Low,Medium,2,3, ,CHAMPLAIN CRES,CARTIER RD,FROBISHER CRES,CITY, ,UNKN,UNKN,120,2004-01-01,3000-01-01,0,<Null>, ,N/A,0,3000-01-01, , ,1,1,<Null>,14654693, ,3000-01-01,150 DI, ,L9215,0,0,Silt,0,0,0,0,0,0,0,0,0,0,0,<Null>, ,N/A,3000-01-01,0, ,0,1,0,0,0, , , ,87-60, ,1,1,0,0,15,0.04681637,4.76752E-12,4.290772057,15,, , ,,,,,,,,,, , ,, , ,, , ,, , ,, , ,, , ,, ,, ,, ,, ,, , , , ,, ,, , ,, , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , ,300,210,Moderately High,Medium,4,3,0,6.9,15,0,0,0,90,48.3,Moderately Low,Very Low,2,1,510,543.1,RELINE - REHAB,REPLACE,2,3, , , , , , , , ,0,NO,0,0, , , , , 
516,Polyline,2565,L14097,ACTIVE,PVC,PVC,0.1,0.04,24,58.4,58.4,56.96,56.96,0,0,Very Low,Very Low,DR 18,1993_11_15,N236,N3599,150,46.48,46.48,34.86,69720,6.813333333,15,1993,0,0,0,6,,0,0,0,6,,120,240.3,Moderately Low,Medium,2,3,400,AMBLESIDE DR,PINNACLE PKWY,PINNACLE PKWY,PRIVATE, ,SATI,UNKN,150,3000-01-01,3000-01-01,0,<Null>, ,N/A,0,3000-01-01, , ,0,0,<Null>,24011637, ,3000-01-01,150 PVC, ,L14097,1,0, ,0,0,1,0,0,0,0,0,0,1,0,<Null>, ,N/A,3000-01-01,0, ,0,0,94-029,0,0, , , ,75-63, ,0,0,0,0,15,0.04681637,2.37253E-12,2.135279285,15,, , ,,,,,,,,,, , ,, , ,, , ,, , ,, , ,, , ,, ,, ,, ,, ,, , , , ,, ,, , ,, , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , ,300,210,Moderately High,Medium,4,3,0,6.9,15,0,15,9,180,111.3,Moderately High,Medium,4,3,600,561.6,REPLACE,REPLACE,3,3, , , , , , , , ,0,YES,1,167, , ,REGISTERED,MCC 309,1994
517,Polyline,2567,L14473,ACTIVE,PVC,PVC,0.1,0.04,23,59.3,59.3,57.92,57.92,0,0,Very Low,Very Low,DR 18,1994_05_10,N880,N3429,200,75.69,75.69,56.7675,113535,6.918333333,15,1994,0,0,0,6,,0,0,0,6,,120,240.3,Moderately Low,Medium,2,3,1199,HAMILTON RD,BRAESYDE AVE,BRAESYDE AVE,PRIVATE, ,SATI,UNKN,150,3000-01-01,3000-01-01,0,<Null>, ,N/A,0,3000-01-01, , ,0,0,<Null>,24526393, ,3000-01-01,200 PVC, ,L14473,1,0,Unknown,0,0,0,0,0,0,0,0,0,1,0,<Null>, ,N/A,3000-01-01,0, ,0,0,94-057,0,0, , , ,85-57,Unknown,0,0,0,0,15,0.042136065,8.25177E-13,0.742659301,0,, , ,,,,,,,,,, , ,, , ,, , ,, , ,, , ,, , ,, ,, ,, ,, ,, , , , ,, ,, , ,, , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , ,150,105,Moderately Low,Moderately Low,2,2,0,6.6,15,0,15,9,180,109.2,Moderately High,Moderately Low,4,2,450,454.5,RELINE - REHAB,RELINE - REHAB,2,2, , , , , , , , ,0,YES,1,18,39CD-04516,TG,ON HOLD, , 
518,Polyline,2568,L18988,ACTIVE,DI,DI,0.5,0.26,16,72,72,68.16,68.16,0,0,Very Low,Very Low,CL 52,2001_06_08,N14587,N14583,200,12.38,12.38,9.285,18570,8.4,15,2001,0,0,0,6,,0,0,0,6,,120,240.3,Moderately Low,Medium,2,3, ,MAUD ST,BROOKSIDE ST,BROOKSIDE ST,CITY, ,SATI,UNKN,120,2004-01-01,3000-01-01,0,<Null>, ,N/A,0,3000-01-01, ,0,1,1,<Null>,25628062, ,3000-01-01,200 DI, ,L18988,0,0,Silt,0,0,0,0,0,0,0,0,0,0,0,<Null>, ,N/A,3000-01-01,0, ,0,1,2001-049,0,0, , , ,81-57, ,1,1,0,0,15,0.042136065,1.34968E-13,0.121470764,0,, , ,,,,,,,,,, , ,, , ,, , ,, , ,, , ,, , ,, ,, ,, ,, ,, , , , ,, ,, , ,, , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , ,150,105,Moderately Low,Moderately Low,2,2,0,6.6,15,0,0,0,90,46.2,Moderately Low,Very Low,2,1,360,391.5,RELINE - REHAB,RELINE - REHAB,2,2, , , , , , , , ,0,YES,1,610,39CD-96510,JL,REGISTERED,MCC 366,1997
519,Polyline,2569,L20334,ACTIVE,PVC,PVC,0.1,0.04,15,66.5,66.5,65.6,65.6,0,0,Very Low,Very Low,DR 18,2002_11_25,N13700,N13699,100,47.43,47.43,35.5725,71145,7.758333333,15,2002,0,0,0,6,,0,0,0,6,,120,240.3,Moderately Low,Medium,2,3, ,ADIRONDACK RD,OAK GROVE PL,OAK GROVE PL,PRIVATE, ,SATI,UNKN,130,2002-11-25,3000-01-01,0,<Null>, ,N/A,0,3000-01-01, ,0,0,0,<Null>,25629062, ,3000-01-01,100 PVC, ,L20334,1,0, ,0,0,0,0,0,0,0,0,0,1,0,<Null>, ,N/A,3000-01-01,0, ,0,0,2002-131,0,0, , ,WESTMOUNT/PONDMILLS,75-54, ,0,0,0,0,15,0.054860098,2.15434E-11,19.38906333,15,, , ,,,,,,,,,, , ,, , ,, , ,, , ,, , ,, , ,, ,, ,, ,, ,, , , , ,, ,, , ,, , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , ,300,210,Moderately High,Medium,4,3,0,6.6,15,0,15,9,180,109.2,Moderately High,Moderately Low,4,2,600,559.5,REPLACE,REPLACE,3,3, , , , , , , , ,0,YES,1,22,39CD-05505,HMN,REGISTERED,MCC 616-A,2006
520,Polyline,2570,L9234,ACTIVE,DI,DI,0.5,0.26,28,66,66,59.28,59.28,0,0,Very Low,Very Low,CL 52,1989_01_01,N6886,N6887,300,34.18,34.18,25.635,51270,7.7,15,1989,0,0,0,6,,0,0,0,6,,120,240.3,Moderately Low,Medium,2,3, ,SOVEREIGN RD,INTREPID CRT,BELLEISLE CRT,CITY, ,UNKN,UNKN,120,2004-01-01,3000-01-01,0,<Null>, ,N/A,0,3000-01-01, , ,1,1,<Null>,14664715, ,3000-01-01,300 DI, ,L9234,0,0,Sand,0,0,0,0,0,0,0,0,0,0,0,<Null>, ,N/A,3000-01-01,0, ,0,1,0,0,1, , , ,88-61,Unknown,1,1,0,0,15,0.03664517,4.26763E-14,0.038408704,0,, , ,,,,,,,,,, , ,, , ,, , ,, , ,, , ,, , ,, ,, ,, ,, ,, , , , ,, ,, , ,, , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , ,150,105,Moderately Low,Moderately Low,2,2,5,10.5,15,0,0,0,120,73.5,Medium,Moderately Low,3,2,390,418.8,RELINE - REHAB,RELINE - REHAB,2,2, , , , , , , , ,0,NO,0,0, , , , , 
521,Polyline,2571,L10470,ACTIVE,CI,CI,0.3,0.25,63,35.9,35.9,32.75,32.75,5,5,Medium,Medium,SPUN CAST,1954_01_01,N5804,N5803,150,2.236068,2.236068,1.677051,3354.102,4.188333333,5,1954,1,0.447213591,5,7.35,,0,0,0,6,,120,207.815,Moderately Low,Medium,2,3, ,THE PARKWAY,HURON ST,HURON ST,CITY, ,UNKN,UNKN,47,2004-01-01,3000-01-01,0,<Null>, ,N/A,0,3000-01-01, , ,1,1,<Null>,16831679, ,3000-01-01,150 CI, ,L10470,0,1,Sand,0,0,0,0,0,0,0,0,0,0,0,<Null>, ,N/A,3000-01-01,0, ,0,1,0,0,0, , , ,78-61, ,1,1,0,0,15,0.04681637,1.14138E-13,0.102724391,0,,1990-02-09,1990,,,,,,,,,, , ,, , ,, , ,, , ,, , ,, , ,, ,, ,, ,, ,, , , , ,, ,, , ,, , , , , ,,N_A, , , , , , , , , , , , , , , , , , , , , , , , , ,150,105,Moderately Low,Moderately Low,2,2,0,6.9,15,0,0,0,90,48.3,Moderately Low,Very Low,2,1,360,361.115,RELINE - REHAB,DO NOTHING,2,1, , , , , , , , ,0,NO,0,0, , , , , 
522,Polyline,2572,L13580,ACTIVE,CI,CI,0.3,0.25,117,-1.9,0,-7.75,0,15,15,Very High,Very High,PIT RUN,1900_01_01,N8727,N3867,200,68.74,68.74,51.555,103110,-0.221666667,5,1900,0,0,0,6,,0,0,0,6,,160,284.8,Moderately Low,Medium,2,3,847,HIGHBURY AVE N,OXFORD ST E,OXFORD ST E,PRIVATE, ,UNKN,UNKN,0,1992-01-09,3000-01-01,0,<Null>, ,N/A,0,3000-01-01, , ,0,0,<Null>,22239042, ,3000-01-01,200 CI, ,L13580,0,0, ,0,0,0,0,0,0,0,0,0,0,0,<Null>, ,N/A,3000-01-01,0, ,0,0,0,0,0, , , ,82-61, ,0,0,0,0,15,0.042136065,7.49408E-13,0.674466909,0,, , ,,,,,,,,,, , ,, , ,, , ,, , ,, , ,, , ,, ,, ,, ,, ,, , , , ,, ,, , ,, , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , ,150,105,Moderately Low,Moderately Low,2,2,0,6.6,15,0,15,9,180,109.2,Moderately High,Moderately Low,4,2,490,499,RELINE - REHAB,RELINE - REHAB,2,2, , , , , , , , ,0,NO,0,0, , , , , 
523,Polyline,2573,L920,ACTIVE,DI,DI,0.5,0.26,38,61,61,51.88,51.88,0,0,Very Low,Very Low,CL 52,1979_01_01,N12966,N12965,300,97.06,97.06,72.795,145590,7.116666667,15,1979,0,0,0,6,,0,0,0,6,,120,240.3,Moderately Low,Medium,2,3, ,CRANBROOK RD,BARCLAY RD,TAMARACK CRES,CITY, ,UNKN,UNKN,120,2004-01-01,3000-01-01,0,<Null>, ,N/A,0,3000-01-01, , ,1,1,<Null>,1561739, ,3000-01-01,300 DI, ,L920,0,0,Clay,0,0,1,0,0,0,0,0,0,0,0,<Null>, ,N/A,3000-01-01,0, ,0,2,0,0,1, , ,WESTMOUNT/PONDMILLS,75-54, ,1,1,0,0,15,0.03664517,1.21187E-13,0.109068134,0,, , ,,,,,,,,,, , ,, , ,, , ,, , ,, , ,, , ,, ,, ,, ,, ,, , , , ,, ,, , ,, , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , ,150,105,Moderately Low,Moderately Low,2,2,5,10.5,15,0,0,0,120,73.5,Medium,Moderately Low,3,2,390,418.8,RELINE - REHAB,RELINE - REHAB,2,2, , , , , , , , ,0,NO,0,0, , , , , 
524,Polyline,2574,L1822,ACTIVE,DI,DI,0.5,0.26,29,65.5,65.5,58.54,58.54,0,0,Very Low,Very Low,CL 52,1988_02_24,N1253,N12357,150,2.62,2.62,1.965,3930,7.641666667,15,1988,0,0,0,6,,0,0,0,6,,120,240.3,Moderately Low,Medium,2,3,126,BELMONT DR,HILLSBOROUGH RD,HILLSBOROUGH RD,PRIVATE, ,UNKN,UNKN,0,1992-01-09,3000-01-01,0,<Null>, ,N/A,0,3000-01-01, , ,0,0,<Null>,2852287, ,3000-01-01,150 DI, ,L1822,0,0, ,0,0,0,0,0,0,0,0,0,0,0,<Null>, ,N/A,3000-01-01,0, ,0,0,88-028,0,0, , ,WESTMOUNT/PONDMILLS,78-54, ,0,0,0,0,15,0.04681637,1.33736E-13,0.120362128,0,, , ,,,,,,,,,, , ,, , ,, , ,, , ,, , ,, , ,, ,, ,, ,, ,, , , , ,, ,, , ,, , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , ,150,105,Moderately Low,Moderately Low,2,2,0,6.9,15,0,15,9,180,111.3,Moderately High,Medium,4,3,450,456.6,RELINE - REHAB,RELINE - REHAB,2,2, , , , , , , , ,0,YES,1,481, , ,REGISTERED,MCC 192,1990
525,Polyline,2575,L6238,ACTIVE,CI,CI,0.3,0.25,63,35.9,35.9,32.75,32.75,5,5,Medium,Medium,SPUN CAST,1954_01_01,N2526,N9067,150,88.19,88.19,66.1425,132285,4.188333333,5,1954,0,0,0,6,,0,0,0,6,,80,195.8,Very Low,Medium,1,3, ,ELLSWORTH CLOSE,ELLSWORTH CRES,ELLSWORTH CRES,CITY, ,UNKN,UNKN,47,2004-01-01,3000-01-01,0,<Null>, ,N/A,0,3000-01-01, , ,1,1,<Null>,9839469, ,3000-01-01,150 CI, ,L6238,0,0,Sand,0,0,0,0,0,0,0,0,0,0,0,<Null>, ,N/A,3000-01-01,0, ,1,1,0,0,1, , , ,84-58, ,1,1,0,0,15,0.04681637,4.50158E-12,4.051425992,15,, , ,,,,,,,,,, , ,, , ,, , ,, , ,, , ,, , ,, ,, ,, ,, ,, , , , ,, ,, , ,, , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , ,300,210,Moderately High,Medium,4,3,0,6.9,15,0,0,0,90,48.3,Moderately Low,Very Low,2,1,470,454.1,RELINE - REHAB,RELINE - REHAB,2,2, , , , , , , , ,0,NO,0,0, , , , , 
526,Polyline,2576,L17297,ACTIVE,CONC,CPP,1,0.25,23,80,80,62.75,62.75,0,0,Very Low,Very Low,C301L,1994_05_27,N16401,N16397,750,3,3,2.25,4500,9.333333333,15,1994,0,0,0,6,,0,0,0,6,,120,240.3,Moderately Low,Medium,2,3, ,DINGMAN DR,CASTLETON RD,CASTLETON RD,CITY, ,SATI,UNKN,110,2004-01-01,3000-01-01,0,<Null>, ,N/A,0,3000-01-01, ,0,1,1,<Null>,25626884, ,3000-01-01,750 CONC, ,L17297,1,0,Clay,0,0,0,0,0,0,0,0,0,1,0,<Null>, ,N/A,3000-01-01,0, ,0,4,94-107,13441,0, , , ,83-51, ,1,1,0,0,15,0.027594581,2.88831E-17,2.59948E-05,15,, , ,,,,,,,,,, , ,, , ,, , ,, , ,, , ,, , ,, ,, ,, ,, ,, , , , ,, ,, , ,, , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , ,300,210,Moderately High,Medium,4,3,15,6.6,15,0,0,0,180,46.2,Moderately High,Very Low,4,1,600,496.5,REPLACE,RELINE - REHAB,3,2, , , , , , , , ,0,NO,0,0, , , , , 
527,Polyline,2577,L12107,ACTIVE,CI,CI,0.3,0.25,57,40.1,40.1,37.25,37.25,5,5,Medium,Medium,SPUN CAST,1960_01_01,N4689,N4688,150,112.991145,112.991145,84.74335875,169486.7175,4.678333333,5,1960,2,0.017700502,5,7.35,,0,0,0,6,,120,207.815,Moderately Low,Medium,2,3, ,CLERMONT AVE,NORTH VERNON AVE,FREMONT AVE,CITY, ,SATI,UNKN,120,2004-01-01,3000-01-01,1,1998-06-01,CEMENT MORTAR,N/A,0,3000-01-01, , ,1,1,<Null>,19416071, ,3000-01-01,150 CI, ,L12107,0,2,Sand,0,0,0,0,0,0,0,0,0,0,1,1998-06-01,CEMENT MORTAR,N/A,3000-01-01,0, ,0,1,0,0,0, , , ,79-64, ,1,1,0,0,15,0.04681637,5.76754E-12,5.190784236,15,,1987-01-27,1987,1992-02-25,,1992,,,,,,, , ,, , ,, , ,, , ,, , ,, , ,, ,, ,, ,, ,, , , , ,, ,, , ,, , , , , ,,DEFECTIVE PIPE,DETERIORATION, , , , , , , , , , , , , , , , , , , , , , , , ,300,210,Moderately High,Medium,4,3,0,6.9,15,0,0,0,90,48.3,Moderately Low,Very Low,2,1,510,466.115,RELINE - REHAB,RELINE - REHAB,2,2, , , , , , , , ,0,NO,0,0, , , , , 
528,Polyline,2578,L18686,ACTIVE,PVC,PVC,0.1,0.04,15,66.5,66.5,65.6,65.6,0,0,Very Low,Very Low,DR 18,2002_04_12,N14739,N14738,200,121.75,121.75,91.3125,182625,7.758333333,15,2002,0,0,0,6,,0,0,0,6,,120,240.3,Moderately Low,Medium,2,3, ,FIELDGATE CIR,MARCONI BLVD,MARCONI BLVD,CITY, ,SATI,UNKN,130,2004-01-01,3000-01-01,0,<Null>, ,N/A,0,3000-01-01, ,0,1,1,<Null>,25627884, ,3000-01-01,200 PVC, ,L18686,1,0,Sand,0,0,0,0,0,0,0,0,0,1,0,<Null>, ,N/A,3000-01-01,0, ,0,1,2002-016,0,1, , , ,86-59, ,1,1,0,0,15,0.042136065,1.32733E-12,1.19459334,0,, , ,,,,,,,,,, , ,, , ,, , ,, , ,, , ,, , ,, ,, ,, ,, ,, , , , ,, ,, , ,, , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , ,150,105,Moderately Low,Moderately Low,2,2,0,6.6,15,0,0,0,90,46.2,Moderately Low,Very Low,2,1,360,391.5,RELINE - REHAB,RELINE - REHAB,2,2, , , , , , , , ,0,NO,0,0, , , , , 
529,Polyline,2580,L2095,ACTIVE,CI,CI,0.3,0.25,54,42.2,42.2,39.5,39.5,5,5,Medium,Medium,SPUN CAST,1963_01_01,N12065,N12330,150,85.37558,85.37558,64.031685,128063.37,4.923333333,5,1963,5,0.058564756,10,10.89,,1,0.011712951,5,7.35,,200,251.336,Medium,Medium,3,3, ,ALANBROOK ST,LADYBROOK CRES,VISCOUNT RD,CITY, ,UNKN,UNKN,55,2004-01-01,3000-01-01,0,<Null>, ,N/A,0,3000-01-01, , ,1,1,<Null>,3258642, ,3000-01-01,150 CI, ,L2095,0,8,Clay,0,0,0,0,0,0,0,0,0,0,0,<Null>, ,N/A,3000-01-01,0, ,0,1,0,0,1, , , ,77-55,Unknown,1,1,0,0,15,0.04681637,4.35792E-12,3.922132259,15,,2008-10-06,2008,2010-01-24,,2010,2013-12-09,2013,1,1993-12-28,1993,,2003-03-10,2003,,2002-10-15,2002,,2003-03-01,2003,,2004-06-29,2004,, , ,, , ,, ,, ,, ,, ,, , , , ,, ,, , ,, , , , , ,,SETTLEMENT,DETERIORATION,DETERIORATION,IMPROPER BEDDING,IMPROPER BEDDING,CORROSION,IMPROPER BEDDING,IMPROPER BEDDING, , , , , , , , , , , , , , , , , , ,300,210,Moderately High,Medium,4,3,0,6.9,15,0,0,0,90,48.3,Moderately Low,Very Low,2,1,590,509.636,REPLACE,REPLACE,3,3, , , , , , , , ,0,NO,0,0, , , , , 
530,Polyline,2581,L1261,ACTIVE,CI,CI,0.3,0.25,27,61.1,61.1,59.75,59.75,0,0,Very Low,Very Low,0,1990_06_25,N12658,N12652,150,6.59,6.59,4.9425,9885,7.128333333,15,1990,0,0,0,6,,0,0,0,6,,120,240.3,Moderately Low,Medium,2,3,760,WONDERLAND RD S,VILLAGE GREEN AVE,VILLAGE GREEN AVE,PRIVATE, ,UNKN,UNKN,0,1992-01-09,3000-01-01,0,<Null>, ,N/A,0,3000-01-01, , ,0,0,<Null>,2009834, ,3000-01-01,150 CI, ,L1261,0,0, ,0,0,0,0,0,0,0,0,0,0,0,<Null>, ,N/A,3000-01-01,0, ,0,0,90-125,0,0, , ,WESTMOUNT/PONDMILLS,76-55, ,0,0,0,0,15,0.04681637,3.36381E-13,0.302742911,0,, , ,,,,,,,,,, , ,, , ,, , ,, , ,, , ,, , ,, ,, ,, ,, ,, , , , ,, ,, , ,, , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , ,150,105,Moderately Low,Moderately Low,2,2,0,6.9,15,0,15,9,180,111.3,Moderately High,Medium,4,3,450,456.6,RELINE - REHAB,RELINE - REHAB,2,2, , , , , , , , ,0,YES,1,43,39CD-01502,HMN,REGISTERED,MCC 487,2001
531,Polyline,2582,L13846,ACTIVE,CI,CI,0.3,0.25,27,61.1,61.1,59.75,59.75,0,0,Very Low,Very Low,0,1990_11_23,N3724,N5710,200,148.9,148.9,111.675,223350,7.128333333,15,1990,0,0,0,6,,0,0,0,6,,120,240.3,Moderately Low,Medium,2,3,1680,RICHMOND ST,FANSHAWE PARK RD E,FANSHAWE PARK RD E,PRIVATE, ,UNKN,UNKN,0,1992-01-09,3000-01-01,0,<Null>, ,N/A,0,3000-01-01, , ,0,0,<Null>,23632458, ,3000-01-01,200 CI, ,L13846,0,0, ,0,0,0,0,0,0,0,0,0,0,0,<Null>, ,N/A,3000-01-01,0, ,0,0,90-221,0,0, , , ,77-63, ,0,0,0,0,15,0.042136065,1.62332E-12,1.460985202,0,, , ,,,,,,,,,, , ,, , ,, , ,, , ,, , ,, , ,, ,, ,, ,, ,, , , , ,, ,, , ,, , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , ,150,105,Moderately Low,Moderately Low,2,2,0,6.6,15,0,15,9,180,109.2,Moderately High,Moderately Low,4,2,450,454.5,RELINE - REHAB,RELINE - REHAB,2,2, , , , , , , , ,0,NO,0,0, , , , , 
532,Polyline,2583,L20097,ACTIVE,PVC,PVC,0.1,0.04,15,66.5,66.5,65.6,65.6,0,0,Very Low,Very Low,DR 18,2002_11_13,N13859,N13858,200,118.27,118.27,88.7025,177405,7.758333333,15,2002,0,0,0,6,,0,0,0,6,,120,240.3,Moderately Low,Medium,2,3, ,THIRD ST,CHEAPSIDE ST,CHEAPSIDE ST,PRIVATE, ,SATI,UNKN,130,2002-11-13,3000-01-01,0,<Null>, ,N/A,0,3000-01-01, ,0,0,0,<Null>,25628884, ,3000-01-01,200 PVC, ,L20097,1,0, ,0,0,0,0,0,0,0,0,0,1,0,<Null>, ,N/A,3000-01-01,0, ,0,0,2002-109,0,0, , , ,84-62, ,0,0,0,0,15,0.042136065,1.28939E-12,1.160448085,0,, , ,,,,,,,,,, , ,, , ,, , ,, , ,, , ,, , ,, ,, ,, ,, ,, , , , ,, ,, , ,, , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , ,150,105,Moderately Low,Moderately Low,2,2,0,6.6,15,0,15,9,180,109.2,Moderately High,Moderately Low,4,2,450,454.5,RELINE - REHAB,RELINE - REHAB,2,2, , , , , , , , ,0,NO,0,0, , , , , 
533,Polyline,2584,L11152,ACTIVE,DI,DI,0.5,0.26,33,63.5,63.5,55.58,55.58,0,0,Very Low,Very Low,CL 52,1984_01_01,N5089,N5289,200,230.04,230.04,172.53,345060,7.408333333,15,1984,0,0,0,6,,0,0,0,6,,120,240.3,Moderately Low,Medium,2,3, ,PRINCESS AVE,WATERLOO ST,COLBORNE ST,CITY, ,SATI,UNKN,120,2004-01-01,3000-01-01,0,<Null>, ,N/A,0,3000-01-01, , ,1,1,<Null>,17972295, ,3000-01-01,200 DI, ,L11152,0,0,Sand,0,0,0,0,0,0,0,0,0,0,0,<Null>, ,N/A,3000-01-01,0, ,0,1,0,WD-402,1, , , ,80-59,Unknown,1,1,0,0,15,0.042136065,2.50791E-12,2.257119113,15,, , ,,,,,,,,,, , ,, , ,, , ,, , ,, , ,, , ,, ,, ,, ,, ,, , , , ,, ,, , ,, , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , ,300,210,Moderately High,Medium,4,3,0,6.6,15,0,0,0,90,46.2,Moderately Low,Very Low,2,1,510,496.5,RELINE - REHAB,RELINE - REHAB,2,2, , , , , , , , ,0,NO,0,0, , , , , 
534,Polyline,2585,L8506,ACTIVE,CI,CI,0.3,0.25,30,59,59,57.5,57.5,0,0,Very Low,Very Low,0,1987_06_18,N746,N7354,200,77.15,77.15,57.8625,115725,6.883333333,15,1987,0,0,0,6,,0,0,0,6,,120,240.3,Moderately Low,Medium,2,3, ,CLARKE RD,CHARTERHOUSE CRES,CLARKE RD,PRIVATE, ,UNKN,UNKN,0,1992-01-09,3000-01-01,0,<Null>, ,N/A,0,3000-01-01, , ,0,0,<Null>,13623430, ,3000-01-01,200 CI, ,L8506,0,0, ,0,0,0,0,0,0,0,0,0,0,0,<Null>, ,N/A,3000-01-01,0, ,0,0,87-132,0,0, , , ,86-59, ,0,0,0,1,15,0.042136065,8.41094E-13,0.75698461,0,, , ,,,,,,,,,, , ,, , ,, , ,, , ,, , ,, , ,, ,, ,, ,, ,, , , , ,, ,, , ,, , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , ,150,105,Moderately Low,Moderately Low,2,2,0,6.6,15,0,15,9,180,109.2,Moderately High,Moderately Low,4,2,450,454.5,RELINE - REHAB,RELINE - REHAB,2,2,"Teresa Armstrong, MPP (NDP) London-Fanshawe",Constituency office, ,n/a,Infrastructure,Government,Critical Contractor Facility,ems.infrastructure.government.criticalContractorFacility,90,NO,0,0, , , , , 
